Header Name,Mnemonic
3rd Party Gas,3GAS 
ABI,ABI 
AIR PRESSURE,AIRPRESS 
AMP HRS,AMPHRS 
ANNULAR PRESSURE,ANNP 
AVG WPDA,AVGWPDA 
AXIAL VB,AXIALVB 
Annular Pres,ANNP 
Annulus Pressure,ANP 
AutoDriller Block Position,ADBLP 
AutoDriller Block Velocity,ADBLV 
AutoDriller Brake Pos,ADBKP 
AutoDriller Diff Press,ADDP 
AutoDriller Diff Press SP,DDPSP 
AutoDriller Diff Pressure Response Tunin,ADDRT 
AutoDriller Drum Ticks,ADDRM 
AutoDriller Off Bottom ROP Limit,ADRSP 
AutoDriller On Bottom ROP Setpoint,DTDSP 
AutoDriller ROP Response Tuning,ADRRT 
AutoDriller Status,ADS 
AutoDriller Status 2 LW,STT2L 
AutoDriller Status 2 UW,STT2U 
AutoDriller Status LW,STATL 
AutoDriller Status UW,STATU 
AutoDriller Throttle,ADTHR 
AutoDriller Ticks Per Depth,ADTPD 
AutoDriller Torque,ADT 
AutoDriller Torque Limit,ADTSP 
AutoDriller Torque Response Tuning,ADTRT 
AutoDriller WOB,ADWOB 
AutoDriller WOB Response Tuning,ADWRT 
AutoDriller WOB SP,WOBSP 
Autodriller Sensitivity,ADSE 
Azimuth,AZ 
BIT DEPTH,BDEP 
BLOCK HEIGHT,BHT 
Balance Ratio,BALR 
Bit Depth,BDEP 
Bit RPM,BR 
Bit RPM Target,BRTG 
Block Height,BHT 
Block Ht.,BHT 
Block Position,BLP 
Block Speed,BKSP 
C1 Methane Gas,PC1G 
C2 Ethane Gas,PC2G 
C3 Propane Gas,PC3G 
C4 Butane Gas,PC4G 
C5 Pentane Gas,PC5G 
CASING,CASING 
CAZI,CAZI 
CHLORIDES,MUDCL 
CINC,CINC 
CO2 Carbon Dioxide Gas,PCO2G 
CONT INC,CONTINC 
CONTINUOUS INCLINATION,CONTINUO 
CUSTOM #1,C1 
CUSTOM #2,C2 
CUSTOM #3,C3 
CUSTOM #4,C4 
CUSTOM FLOW,CUSTOMFL 
CUSTOM#1 air pressure,null 
Casing Pressure,PCAS 
Cement Date,CDATE 
Cement Fluid Temp,CFT 
Cement Pump Pressure,CPP 
Cement Slurry Rate,SRATE 
Cement Stage Volume,CSV 
Cement Time,CTIME 
Cement Total Stage Volume / CTS Volume,CTSV 
Cement Val,CTSV 
Cement Water Rate,CWR 
Character Ratio,CHARR 
Choke Position,CPOS 
Circulating Hours,CIRH 
Condensate Out,CONO 
Cont INC,CONTINC 
Cont Inc,CONTINC 
Cont Inc NB,CONTINC 
Cont. INC,CONTINC 
Continuous Inc,CONTINUO 
Convertible Torque,CTOR 
Custom #2,C2 
Custom 1,C1 
Custom Annular Pressure,CUSTOMAN 
Custom FLOW,CUSTOMFL 
Custom Mud Tank 1,CTV1 
Custom Mud Tank 2,CTV2 
Custom Mud Tank 3,CTV3 
Custom Mud Tank 4,CTV4 
Custom Mud Tank 5,CTV5 
Custom Mud Tank 6,CTV6 
Custom Mud Tank 7,CTV7 
Custom Mud Tank 8,CTV8 
Custom Mud Total,CUSTOMMU 
Custom Param #1,C1 
Custom Param #10,C10 
Custom Param #17,C17 
Custom Param #2,C2 
Custom Param #3,C3 
Custom Param #31,C31 
Custom Param #34,C34 
Custom Param #4,C4 
Custom Param #5,C5 
Custom Param #50,C50 
D. TEMP,DTEMP 
DAS Bit RPM Max,DBRMX 
DAS MSE,DAMSE 
DAS Objective Function,DAOBJ 
DAS ROP,DAROP 
DAS Recommended DIFFP,DARDP 
DAS Recommended ROP,DRROP 
DAS Recommended RPM,DARR 
DAS Recommended WOB,DARW 
DAS Time,DATM 
DATA_HEALTH4,DH4 
DHWOB,DHWOB 
DTF,DTF 
DWOB,DWOB 
Data Age,DAGE 
Data Health1,DH1 
Data Health2,DH2 
Data Health3,DH3 
Deflection,DEFLECTI 
Density,DEN 
Density backup,DENSITYB 
Density desired,DENSITYD 
Depth of Cut,DOC 
Differential Pressure,DIFP 
Differential Pressure Target,DFPTG 
Downhole Pressure 1,DHP1 
Downhole Temperature,DHT 
Drawworks Drum Velocity,DWDV 
Drilling Activity,DRACT 
ECD,ECD 
EDR FLOW,EDRFLOW 
EDR FLOW PADDLE,EDRFLOWP 
EDR Instantaneous ROP,IROP 
Elevator Position,ELPOS 
Event Number,ENO 
Explosive Gas 1,EXG1 
Explosive Gas 2,EXG2 
FLOW,FLOW 
FLOW 1,FGLAL 
FLOW CUSTOM,FLOW 
FLOW LINE,FLOWLINE 
FLOW LINE PRESSURE,FLOWLINEP 
Fdens At Bit,FDENB 
Fill Strokes,FSTK 
Flow,FLOW 
Flow 1 G/L Alarm State,FGLAL 
Flow 1 G/L Threshold,F1GLT 
Flow 1 Gain/Loss,FL1GL 
Flow Estimate,FEST 
Flow Estimate Error,FESTE 
FlowC,FLOWC 
G/B FLOW,GBFLOW 
G1 % Load,G1LOAD 
G1 After Cooler Temp,G1AFTERC 
G1 Battery Voltage,G1BATTER 
G1 Boost Pressure,G1BOOSTP 
G1 Coolant Temp,G1COOLAN 
G1 Crankcase Pressure,G1CRANKC 
G1 Engine Hours,G1ENGINE 
G1 Fuel Consumption ECM,G1FUELCO 
G1 Fuel Filter DiffP,G1FUELFI 
G1 Fuel Pressure,G1FUELPR 
G1 Left Exhaust Temp,G1LEFTEX 
G1 Oil Filter DiffP,G1OILFIL 
G1 Oil Pressure,G1OILPRE 
G1 Power Derate,G1POWERD 
